"authorID";"authorName";"fullName";"gender";"religion"
1;"Abelard";"Abelard";"m";""
2;"Ablabius ";"Ablabius ";"";""
3;"Accius";"Accius";"m";""
4;"Addison";"Addison";"m";""
5;"Adso Dervensis";"Adso Dervensis";"m";""
6;"Aedituus";"Valerius Aedituus ";"";""
7;"Aelius Gallus ";"Gaius Aelius Gallus ";"";""
8;"Aemilius ";"Aemilius Sura ";"";""
9;"Aemilius Macer ";"Aemilius Macer ";"";""
10;"Afranius";"Lucius Afranius";"";""
11;"Africanus";"Iulius Africanus";"";""
12;"Ahenobarbus";"Gnaeus Domitius Ahenobarbus";"";""
13;"Albertano of Brescia";"Albertano of Brescia";"m";""
14;"Albinus";"Albinus, poet. ";"";""
15;"Albinus";"Aulus Postumius Albinus ";"";""
16;"Alcuin";"Alcuin";"m";""
17;"Alfenus";"Publius Alfenus Varus";"";""
18;"Ambrosius";"Ambrosius";"m";""
19;"Ammian";"Ammianus Marcellinus";"m";""
20;"Ampelius";"Lucius Ampelius";"m";""
21;"Andronicus";"Livius Andronicus";"m";""
22;"Annianus ";"Annianus ";"";""
23;"Annius ";"Titus Annius Luscus ";"";""
24;"Anonymi de Differentiis [Fronto] ";"Anonymi de Differentiis [Fronto] ";"";""
25;"Anonymus Neveleti";"Anonymus Neveleti";"m";""
26;"Antipater ";"Gallus Antipater ";"";""
27;"Antistius Labeo ";"Marcus Antistius Labeo ";"";""
28;"Antonius ";"Marcus Antonius ";"";""
29;"Antonius ";"Antonius Panurgus ";"";""
30;"Apicius ";"Caelius Apicius ";"";""
31;"Appius";"Appius Claudius Caecus ";"";""
32;"Aprissius";"Aprissius (?) ";"";""
33;"Apuleius";"Apuleius Madaurensis ";"m";""
34;"Aquilius";"Aquilius, comoed. ";"";""
35;"Aquilius ";"Gaius Aquilius Gallus ";"";""
36;"Aquinas";"St Thomas Aquinas";"m";""
37;"Arnobius";"Arbonius Silo ";"m";""
38;"Arruntius ";"Lucius Arruntius ";"";""
