authorName,fullName,gender,religion
Abelard,Abelard,m,
Ablabius ,Ablabius ,,
Accius,Accius,m,
Addison,Addison,m,
Adso Dervensis,Adso Dervensis,m,
Aedituus,Valerius Aedituus ,,
Aelius Gallus ,Gaius Aelius Gallus ,,
Aemilius ,Aemilius Sura ,,
Aemilius Macer ,Aemilius Macer ,,
Afranius,Lucius Afranius,,
Africanus,Iulius Africanus,,
Ahenobarbus,Gnaeus Domitius Ahenobarbus,,
Albertano of Brescia,Albertano of Brescia,m,
Albinus,"Albinus, poet. ",,
Albinus,Aulus Postumius Albinus ,,
Alcuin,Alcuin,m,
Alfenus,Publius Alfenus Varus,,
Ambrosius,Ambrosius,m,
Ammian,Ammianus Marcellinus,m,
Ampelius,Lucius Ampelius,m,
Andronicus,Livius Andronicus,m,
Annianus ,Annianus ,,
Annius ,Titus Annius Luscus ,,
Anonymi de Differentiis [Fronto] ,Anonymi de Differentiis [Fronto] ,,
Anonymus Neveleti,Anonymus Neveleti,m,
Antipater ,Gallus Antipater ,,
Antistius Labeo ,Marcus Antistius Labeo ,,
Antonius ,Marcus Antonius ,,
Antonius ,Antonius Panurgus ,,
Apicius ,Caelius Apicius ,,
Appius,Appius Claudius Caecus ,,
Aprissius,Aprissius (?) ,,
Apuleius,Apuleius Madaurensis ,m,
Aquilius,"Aquilius, comoed. ",,
Aquilius ,Gaius Aquilius Gallus ,,
Aquinas,St Thomas Aquinas,m,
Arnobius,Arbonius Silo ,m,
Arruntius ,Lucius Arruntius ,,
Asconius,Quintus Asconius Pedianus ,m,
Asellio ,Sempronius Asellio ,,
Asinius Gallus ,Gaius Asinius Gallus ,,
Asper ,Aemilius Asper ,,
Asserius,Asserius,m,
Ateius ,Lucius Ateius Praetextatus ,,
Atherianus ,Iulius Atherianus ,,
Atilius ,Atilius ,,
Atta ,Titus Quinctius Atta ,,
Attius Labeo ,Attius Labeo ,,
Aufidius ,Aufidius Bassus ,,
Aufustius ,Aufustius ,,
Augurinus ,Sentius Augurinus ,,
Augustine,Aurelius Augustinus ,m,
Augustus,C. Iul. Caes. Augustus Octavianus ,m,
Aulus Hirtius ,Aulus Hirtius ,,
Aurelian,Caelius Aurelianus ,,
Aurelius ,Aurelius Opillus ,,
Aurelius Victor,Aurelius Victor,m,
Ausonius,Ausonius,m,
Avianus,Avianus,m,
Avitus ,Alfius Avitus ,,
Bacon,Bacon,m,
Balbus,"Balbus, grom. ",,
Balde,Balde,m,
Bassus ,Gaius Caesius Bassus ,,
Bede,Bede,m,
Bibaculus ,Marcus Furius Bibaculus ,,
Biblia Sacra,Biblia Sacra,m,
Bonaventure,Bonaventure,m,
Boskovic,Boskovic,m,
Boym,Boym,m,
Bruttedius ,Bruttedius Niger ,,
Brutus [iur.] ,Marcus Iunius Brutus [iur.] ,,
Brutus [tyr.] ,Marcus Iunius Brutus [tyr.] ,,
Caecina ,Aulus Caecina ,,
Caelius ,Marcus Caelius Rufus ,,
Caelius ,Cn. Arulenus Caelius Sabinus ,,
Caepasius ,Gaius vel Lucius Caepasius ,,
Caepio ,Quintus Servilius Caepio ,,
Caesar,Gaius Iulius Caesar,m,
Calidius ,Marcus Calidius ,,
Calvus ,Gaius Licinius Macer Calvus ,,
Campion,Campion,m,
Cannutius ,Publius Cannutius ,,
Caper ,Flavius Caper ,,
Capito ,Gaius Ateius Capito ,,
Carbo ,Gaius Papirius Carbo ,,
Carbo Arvina ,Gaius Papirius Carbo Arvina ,,
Cascellius ,Aulus Cascellius ,,
Cassiodorus,Cassiodorus,m,
Cassius Longinus ,Lucius Cassius Longinus ,,
Cato (M.f.M.n),Marcus Porcius Cato M.f.M.n. ,,
Cato the Elder,Marcus Porcius Cato ,m,
Cato the Younger,Marcus Porcius Cato Uticensis ,,
Catullus,Gaius Valerius Catullus ,m,
Catulus iunior ,Q. Lutatius Catulus iunior ,,
Celsus,Aulus Cornelius Celsus ,m,
Celsus ,,,
Censorinus,Censorinus,m,
Chalcidius ,Chalcidius ,,
Cicero ,Marcus Tullius Cicero ,,
Cincius ,Lucius Cincius Alimentus ,,
Cincius ,Lucius Cincius ,,
Cinna ,Gaius Helvius Cinna ,,
Claudian,Claudian,m,
Claudius,Claudius Caesar Germanicus ,m,
Cloatius ,Cloatius Verus ,,
Clodius ,Publius Clodius Pulcher ,,
Clodius Tuscus ,Clodius Tuscus ,,
Columella,L. Iunius Moderatus Columella ,m,
Cominius ,Publius Cominius ,,
Conradus Celtis,Conradus Celtis,m,
Cornelia,"Cornelia, mater Gracchorum ",,
Cornelius Gallus ,Gaius Cornelius Gallus ,,
Cornelius Severus ,Cornelius Severus ,,
Cornificius Gallus ,Cornificius Gallus ,,
Cornificius Longus ,Cornificius Longus ,,
Cornutus ,Lucius Annaeus Cornutus ,,
Cotta,Gaius Aurelius Cotta ,m,
Crassus ,Lucius Licinius Crassus ,,
Cremutius ,Aulus Cremutius Cordus ,,
Dante,Dante,m,
Declaratio Arbroathis,Declaratio Arbroathis,m,
Descartes,Descartes,m,
Dolabella ,Publius Cornelius Dolabella ,,
Domitius Marsus ,Domitius Marsus ,,
Donatus,Donatus,m,
Dorcatius ,Dorcatius ,,
Dossennus ,Fabius Dossennus ,,
Duronius ,Marcus Duronius ,,
Egnatius ,Egnatius ,,
Einhard,Einhard,m,
Ennius,Quintus Ennius ,m,
Epicadus ,Cornelius Epicadus ,,
Erasmus,Erasmus,m,
Erucius ,Gaius Erucius ,,
Eucherius,Eucherius,m,
Eutropius,Eutropius,m,
Exsuperantius,Exsuperantius,m,
Fabius Maximus Servilianus ,Q. Fabius Maximus Servilianus ,,
Fabius Pictor ,Fabius Pictor ,,
Fabricius Montanus,Fabricius Montanus,m,
Fannius ,Gaius Fannius ,,
Favorinus ,Favorinus ,,
Fenestella ,Fenestella ,f,
Festus,Festus,m,
Ficino,Ficino,m,
Flaccus,Calpurnius Flaccus,m,
Florus,Annius Florus ,m,
Foedus Aeternum,Foedus Aeternum,m,
Forsett,Forsett,m,
Frontinus,Sextus Iulius Frontinus ,m,
Fronto,Marcus Cornelius Fronto ,m,
Furius ,Aulus Furius Antias ,,
Gaetulicus ,Cn. Cornel. Lentulus Gaetulicus ,,
Gaius,"Gaius, iur. ",m,
Gaius Clodius Licinus ,Gaius Clodius Licinus ,,
Gaius Gracchus ,Gaius Sempronius Gracchus ,,
Gaius Scribonius Curio pater ,Gaius Scribonius Curio pater ,,
Galileo,Galileo,m,
Gannius ,Gannius ,,
Gavius ,Gavius Bassus ,,
Gellius,Aulus Gellius ,m,
Gellius ,Gnaeus Gellius ,,
Germanicus,Germanicus Caesar,m,
Gesta Romanorum,Gesta Romanorum,m,
Girolamo Vida,Girolamo Vida,m,
Glaucia ,Gaius Servilius Glaucia ,,
Godfrey of Winchester,Godfrey of Winchester,m,
Gracchanus ,Marcus Iunius Gracchanus ,,
