fullName,born,flourished start,flourished end,died,uncertain,,,,
Lucius Accius,-170,,,-86,,84,0,VALID,VALID
Lucius Livius Andronicus,-284,,,-204,,80,0,VALID,VALID
Marcus Gaevius Apicius,,14,37,,,0,23,VALID,VALID
Apuleius Madaurensis,124,,,170,,46,0,VALID,VALID
Gaius Iulius Caesar,-100,,,-44,,56,0,VALID,VALID
Titus Calpurnius Siculus,54,,,68,,14,0,VALID,VALID
Marcus Porcius Cato,-234,,,-149,,85,0,VALID,VALID
Gaius Valerius Catullus,-84,,,-54,,30,0,VALID,VALID
Aulus Cornelius Celsus,,0,100,,,0,100,VALID,VALID
Marcus Tullius Cicero,-106,,,-43,,63,0,VALID,VALID
L. Iunius Moderatus Columella,,0,100,,,0,100,VALID,VALID
Quintus Curtius Rufus,,41,41,,,0,0,VALID,VALID
Quintus Ennius,-239,,,-169,,70,0,VALID,VALID
Annius Florus,74,,,130,Y,56,0,VALID,VALID
Sextus Iulius Frontinus,40,,,103,,63,0,VALID,VALID
Marcus Cornelius Fronto,100,,,170,,70,0,VALID,VALID
Aulus Gellius,125,,,180,,55,0,VALID,VALID
Grattius,,-63,14,,,0,77,VALID,VALID
Hadrianus,76,,,138,,62,0,VALID,VALID
Quintus Horatius Flaccus,-65,,,-8,,57,0,VALID,VALID
Hyginus Astronomus,-64,,,17,Y,81,0,VALID,VALID
"Hyginus, myth.",-64,,,17,Y,81,0,VALID,VALID
Iustinianus,482,,,565,,83,0,VALID,VALID
Decimus Iunius Iuvenalis,55,,,128,,73,0,VALID,VALID
Laus Pisonis,,0,100,,Y,0,100,VALID,VALID
Titus Livius,-59,,,17,,76,0,VALID,VALID
Marcus Annaeus Lucanus,39,,,65,,26,0,VALID,VALID
Gaius Lucilius,-180,,,-103,,77,0,VALID,VALID
Titus Lucretius Carus,-99,,,-55,,44,0,VALID,VALID
Marcus Manilius,,0,100,,,0,100,VALID,VALID
Marcus Valerius Martialis,40,,,103,Y,63,0,VALID,VALID
Gnaeus Naevius,-270,,,-201,,69,0,VALID,VALID
Cornelius Nepos,-110,,,-25,,85,0,VALID,VALID
Publius Ovidius Naso,-43,,,17,,60,0,VALID,VALID
Marcus Pacuvius,-220,,,-130,,90,0,VALID,VALID
Aulus Persius Flaccus,30,,,62,Y,32,0,VALID,VALID
Petronius,27,,,66,,39,0,VALID,VALID
Phaedrus,-15,,,50,,65,0,VALID,VALID
Titus Maccius Plautus,-254,,,-184,,70,0,VALID,VALID
Gaius Plinius Secundus,23,,,79,,56,0,VALID,VALID
C. Plinius Caecilius Secundus,61,,,113,,52,0,VALID,VALID
Sextus Propertius,-50,,,-15,,35,0,VALID,VALID
Publilius Syrus,,-85,-43,,,0,42,VALID,VALID
Marcus Fabius Quintilianus,35,,,100,,65,0,VALID,VALID
Gaius Sallustius Crispus,86,,,35,,-51,0,ERROR,VALID
Scriptores Historiae Augustae,,300,400,,Y,0,100,VALID,VALID
Lucius Annaeus Seneca senior,-54,,,39,,93,0,VALID,VALID
Lucius Annaeus Seneca iunior,-4,,,65,,69,0,VALID,VALID
Maurus Servius Honoratus,,300,400,,,0,100,VALID,VALID
Silius Italicus,26,,,101,,75,0,VALID,VALID
Publius Papinius Statius,45,,,96,,51,0,VALID,VALID
Gaius Suetonius Tranquillus,69,,,122,,53,0,VALID,VALID
Cornelius Tacitus,56,,,120,,64,0,VALID,VALID
Publius Terentius Afer,-195,-166,-160,,,195,6,VALID,VALID
Albius Tibullus,-55,,,-19,,36,0,VALID,VALID
Gaius Valerius Flaccus,,,,90,,90,0,VALID,VALID
Valerius Maximus,,14,37,,,0,23,VALID,VALID
Marcus Terentius Varro,-116,,,-27,,89,0,VALID,VALID
Velleius Paterculus,-19,,,31,,50,0,VALID,VALID
Appendix Vergiliana,,0,100,,,0,100,VALID,VALID
Publius Vergilius Maro,-70,,,-19,,51,0,VALID,VALID
Vitruvius,-80,,,-15,,65,0,VALID,VALID
Ablabius,,300,500,,Y,0,200,VALID,VALID
Valerius Aedituus,,0,100,,,0,100,VALID,VALID
Aemilius Sura,,,,,,0,0,VALID,VALID
Lucius Afranius,,0,100,,,0,100,VALID,VALID
Iulius Africanus,,54,68,,,0,14,VALID,VALID
Gnaeus Domitius Ahenobarbus,-98,,,-48,,50,0,VALID,VALID
"Albinus, poet.",,335,,,,0,-335,VALID,ERROR
Publius Alfenus Varus,,-99,0,,,0,99,VALID,VALID
Altercatio Hadr. et Epicteti,,200,400,,,0,200,VALID,VALID
Lucius Ampelius,,117,230,,Y,0,113,VALID,VALID
Annianus,,98,138,,,0,40,VALID,VALID
Titus Annius Luscus,,117,139,,,0,22,VALID,VALID
Anonymi Epici et Lyrici,,,,,,0,0,VALID,VALID
Anonymi Comici et Tragici,,,,,,0,0,VALID,VALID
Anonymi Grammatici,,,,,,0,0,VALID,VALID
Bellum Africum [Anonymous],,-40,,,,0,40,VALID,VALID
Bellum Alexandrinum [Anonymous],,-40,,,,0,40,VALID,VALID
Bellum Hispaniense [Anonymous],,-40,,,,0,40,VALID,VALID
Gallus Antipater,,,,,,0,0,VALID,VALID
Marcus Antonius,,,,,,0,0,VALID,VALID
Marcus Antonius triumvir,,,,,,0,0,VALID,VALID
Antonius Panurgus,,,,,,0,0,VALID,VALID
Appius Claudius Caecus,,-312,-279,,,312,#REF!,VALID,#REF!
Aprissius (?),,,,,,0,0,VALID,VALID
"Aquilius, comoed.",,,,,,0,0,VALID,VALID
Gaius Aquilius Gallus,,,,,,0,0,VALID,VALID
Arbonius Silo,,,,,,0,0,VALID,VALID
Argum. Aen. et Tetrast.,,,,,,0,0,VALID,VALID
Lucius Arruntius,,-39,-22,,,0,17,VALID,VALID
Quintus Asconius Pedianus,,,,,,0,0,VALID,VALID
Sempronius Asellio,,-158,-91,,,0,67,VALID,VALID
Aemilius Asper,,100,300,,Y,0,200,VALID,VALID
Lucius Ateius Praetextatus,,-86,,-29,,-29,86,ERROR,VALID
Iulius Atherianus,,,,,,0,0,VALID,VALID
Atilius,,-400,-200,,,0,200,VALID,VALID
Titus Quinctius Atta,,-100,,-77,,-77,100,ERROR,VALID
Aufidius Bassus,,-27,14,,,0,41,VALID,VALID
Aufustius,-63,,,-19,,44,0,VALID,VALID
Sentius Augurinus,,0,100,,,0,100,VALID,VALID
Aurelius Augustinus,354,,,430,,76,0,VALID,VALID
C. Iul. Caes. Augustus Octavianus,-63,,,19,,82,0,VALID,VALID
Caelius Aurelianus,,400,500,,,0,100,VALID,VALID
Aurelius Opillus,,-100,0,,,0,100,VALID,VALID
Marcus Aurelius,121,,,180,,59,0,VALID,VALID
Alfius Avitus,,-27,37,,,0,64,VALID,VALID
Lucius Herennius Balbus,,-56,-45,,,0,11,VALID,VALID
"Balbus, grom.",,100,300,,,0,200,VALID,VALID
Gaius Caesius Bassus,,0,100,,,0,100,VALID,VALID
Marcus Furius Bibaculus,,-103,0,,,0,103,VALID,VALID
Bruttedius Niger,,-6,31,,,0,37,VALID,VALID
Marcus Iunius Brutus [iur.],,-146,-136,,,0,10,VALID,VALID
Marcus Iunius Brutus [tyr.],,-85,-42,,,0,43,VALID,VALID
Bucolica Einsidlensia,,,,,,0,0,VALID,VALID
Caecilius Statius,-220,,,-168,,52,0,VALID,VALID
Aulus Caecina,,,,,,0,0,VALID,VALID
Marcus Caelius Rufus,-81,,,-47,,34,0,VALID,VALID
Cn. Arulenus Caelius Sabinus,,0,100,,,0,100,VALID,VALID
Gaius vel Lucius Caepasius,,-74,-70,,,0,4,VALID,VALID
Quintus Servilius Caepio,,-100,-90,,,0,10,VALID,VALID
