PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Total_Count_in_Text,Location
frequenter,"in large numbers, in crowds; often, frequently; generally, widely",frequenter,Adverb,23,1.1.1
hortor hortari hortatus sum,to urge,hortor,Verb,22,1.1.1
sum esse fui futurus,to be,sum,Verb,1816,1.1.1
ut or uti,"so that; as, when; that; how? In what manner?",ut,Conjunction,954,1.1.1
epistula epistulae f.,letter,epistula,Noun,102,1.1.1
si,if,si,Conjunction,420,1.1.1
quis quid (after si nisi ne or num),"anyone/thing, someone/thing",quis,Pronoun,89,1.1.1
paulo,slightly,paulo,Adverb,16,1.1.1
curo curare curavi curatus,to care for,curo,Verb,22,1.1.1
scribo scribere scripsi scriptus,to write,scribo,Verb,205,1.1.1
colligo colligere collegi collectus,to collect,colligo,Verb,25,1.1.1
publico publicare publicavi publicatus,to make public,publico,Verb,7,1.1.1
–que,and,que,Conjunction,830,1.1.1
non,not,non,Adverb,880,1.1.1
servo servare servavi servatus,to save,servo,Verb,30,1.1.1
tempus temporis n.,time,tempus,Noun,118,1.1.1
ordo ordinis m.,row,ordo,Noun,31,1.1.1
neque or nec,and not; neither … nor …,neque,Conjunction,73,1.1.1
enim,"in fact, for",enim,Conjunction,433,1.1.1
historia –ae f.,"a narrative of past events, history",historia,Noun,24,1.1.1
compono componere composui compositus,"to build, arrange, bury, calm down",compono,Verb,23,1.1.1
sed,but,sed,Conjunction,434,1.1.1
quisque quidque/quicque,"each, every",quisque,Pronoun,60,1.1.1
in,"in, on",in,Preposition,1150,1.1.1
manus manus f.,hand; band of men,manus,Noun,53,1.1.1
venio venire veni ventum,to come,venio,Verb,69,1.1.1
supersum superesse superfui superfuturus,to be left over,supersum,Verb,35,1.1.2
nec,nor; and not,nec,Conjunction,212,1.1.2
tu tui tibi te te,you,tu,Pronoun,665,1.1.2
consilium consilii n.,plan; council,consilium,Noun,52,1.1.2
ego mei mihi me me,"I, me",ego,Pronoun,1071,1.1.2
paenitet paenitere paenituit,"to make sorry, cause to repent",paenitet,Verb,8,1.1.2
obsequium –i n.,"deference, solicitude",obsequium,Noun,12,1.1.2
ita,"in this way, so",ita,Adverb,180,1.1.2
fio fieri factus sum,to become,fio,Verb,59,1.1.2
is ea id,"he, she it; that",is,Pronoun,579,1.1.2
qui quae quod,"who, which",qui,Pronoun,1999,1.1.2
adhuc,"thus far, to this point, still",adhuc,Adverb,56,1.1.2
neglectus –us m.,neglect,neglectus,Noun,2,1.1.2
iaceo iacere iacui,to lie,iaceo,Verb,18,1.1.2
requiro requirere requisivi requisitus,to seek,requiro,Verb,25,1.1.2
et,and,et,Conjunction,1705,1.1.2
addo addere addidi additus,to give to,addo,Verb,50,1.1.2
supprimo –primere –pressi –pressum,"to hold back, check",supprimo,Verb,3,1.1.2
valeo valere valui valitus,"to be strong, be worth",valeo,Verb,262,1.1.2
quia,because,quia,Conjunction,127,1.2.1
tardus –a –um,slow,tardus,Adjective,10,1.2.1
adventus adventus m.,an arrival,adventus,Noun,13,1.2.1
tuus –a –um,your,tuus,Adjective,336,1.2.1
prospicio prospicere prospexi prospectum,"to see in front, inspect",prospicio,Verb,11,1.2.1
liber libri m.,book,liber,Noun,81,1.2.1
prior prioris,"former, previous, prior, first; (+ abl. of comparison) superior to",prior,Number,31,1.2.1
promitto promittere promisi promissus,"to send forth, let loose; promise",promitto,Verb,13,1.2.1
exhibeo exhibere exhibui exhibitum ,to produce,exhibeo,Verb,13,1.2.1
hic haec hoc,"this, these",hic,Pronoun,905,1.2.1
rogo rogare rogavi rogatus,to ask,rogo,Verb,105,1.2.1
e ex,"out of, from",e,Preposition,387,1.2.1
consuetudo consuetudinis f.,"custom, usage, habit",consuetudo,Noun,12,1.2.1
lego legere legi lectus,"to choose, collect; read",lego,Verb,136,1.2.1
emendo –are,"to correct, amend",emendo,Verb,26,1.2.1
eo,"there, in that place; for that reason",eo,Adverb,16,1.2.1
magis or mage,more,magis,Adverb,213,1.2.1
quod,because,quod,Conjunction,277,1.2.1
nihil or nil or nihilo n.,nothing,nihil,Pronoun,152,1.2.1
umquam,ever,umquam,Adverb,5,1.2.1
peraeque,quite equally,peraeque,Adverb,1,1.2.1
idem eadem idem,same,idem,Pronoun,213,1.2.1
video videre vidi visus,to see,video,Verb,292,1.2.1
tento tentare tentavi tentatus,to try,tento,Verb,10,1.2.2
imitor imitari imitatus sum,to imitate,imitor,Verb,15,1.2.2
Demosthenes –is m.,Demonsthenes (name),Demosthenes,Noun,10,1.2.2
semper,always,semper,Adverb,39,1.2.2
Calvus –i m.,Calvus (name),Calvus,Noun,10,1.2.2
nuper,not long ago,nuper,Adverb,23,1.2.2
meus –a –um,"my, mine",meus,Adjective,405,1.2.2
dumtaxat,"while one examines, to this extent",dumtaxat,Adverb,12,1.2.2
figura figurae f.,"form, shape",figura,Noun,12,1.2.2
oratio orationis f.,"oration, speech",oratio,Noun,57,1.2.2
nam,for,nam,Conjunction,274,1.2.2
vis vis f.,force,vis,Noun,28,1.2.2
tantus –a –um,"so much, so great",tantus,Adjective,91,1.2.2
vir viri m.,man,vir,Noun,96,1.2.2
paucus –a –um,(pl.) a few; (sing.) small,paucus,Adjective,40,1.2.2
aequus –a –um,equal,aequus,Adjective,14,1.2.2
adsequor (assequor) adsequi adsecutus,to follow after,adsequor,Verb,13,1.2.2
possum posse potui,to be able,possum,Verb,339,1.2.2
materia materiae f.,material,materia,Noun,30,1.2.3
ipse ipsa ipsum,"himself, herself, itself (intensive)",ipse,Pronoun,419,1.2.3
vereor vereri veritus sum,to fear,vereor,Verb,76,1.2.3
ne,not; in order that…not; that…not; that,ne,Conjunction,228,1.2.3
improbus –a –um,bad,improbus,Adjective,7,1.2.3
dico dicere dixi dictus,"to say, speak",dico,Verb,297,1.2.3
aemulatio aemulationis f. ,rivalry; jealousy,aemulatio,Noun,7,1.2.3
repugno repugnare repugnavi repugnatus,to fight against,repugno,Verb,9,1.2.3
prope propius proxime,near (prep. + acc.),prope,Preposition,87,1.2.3
totus –a –um,whole,totus,Adjective,55,1.2.3
contentio contentionis f.,"exertion, effort",contentio,Noun,8,1.2.3
longus –a –um,"long, far",longus,Adjective,108,1.2.3
desidia –ae f.,"idleness, inactivity",desidia,Noun,10,1.2.3
indormio –ire –ivi –itus,"to sleep on top of, sleep over",indormio,Verb,1,1.2.3
excito excitare excitavi excitatus,"to stir up, arouse, put into motion",excito,Verb,17,1.2.3
modo,"only, just now",modo,Adverb,93,1.2.3
tamen,"nevertheless, however",tamen,Adverb,304,1.2.4
omnino,entirely,omnino,Adverb,31,1.2.4
Marcus Marci m.,Marcus,Marcus,Noun,13,1.2.4
noster nostra nostrum,"our, ours",noster,Adjective,153,1.2.4
fugio fugere fugi fugitus,"to flee, escape",fugio,Verb,15,1.2.4
etiam,also,etiam,Adverb,388,1.2.4
paulum or paululum,a little,paulum,Adverb,9,1.2.4
iter itineris n.,journey,iter,Noun,25,1.2.4
summoveo –ere –movi –motus,to move from beneath; remove,summoveo,Verb,4,1.2.4
quotiens or quoties,how many times; whenever,quotiens,Adverb,10,1.2.4
intempestivus –a –um,unseasonable; untimely,intempestivus,Adjective,2,1.2.4
amoenitas –atis f.,"pleasantness, delightfulness",amoenitas,Noun,8,1.2.4
decedo decedere decessi decessus,"to move away, withdraw",decedo,Verb,22,1.2.4
admoneo admonere admonui admonitus,"to admonish, remind",admoneo,Verb,38,1.2.4
acer acris acre,"sharp, piercing",acer,Adjective,31,1.2.4
tristis triste,sad,tristis,Adjective,27,1.2.4
volo velle volui,to wish,volo,Verb,147,1.2.4
puto putare putavi putatus,to think,puto,Verb,140,1.2.5
sub,under,sub,Preposition,39,1.2.5
exceptio –onis f. ,"an exception, restriction, limitation",exceptio,Noun,1,1.2.5
venia veniae f.,pardon,venia,Noun,29,1.2.5
postulo postulare postulavi postulatus,to demand,postulo,Verb,33,1.2.5
quo,that,quo,Conjunction,19,1.2.5
intendo intendere intendi intentus,"to stretch, strain",intendo,Verb,17,1.2.5
lima –ae f.,a carpenter’s file; (fig.) literary revision,lima,Noun,4,1.2.5
confiteor confiteri confessus sum,to confess,confiteor,Verb,9,1.2.5
contubernalis –is m./f.,"tentmate, comrade–in–arms",contubernalis,Noun,9,1.2.5
a ab abs,"from, by",a,Preposition,392,1.2.5
editio –onis f.,an account; a bringing forth,editio,Noun,6,1.2.5
abhorreo abhorrere abhorui,to shrink back from,abhorreo,Verb,3,1.2.5
fortasse or fortassis,perhaps,fortasse,Adverb,38,1.2.5
error erroris m.,"wandering, error",error,Noun,13,1.2.5
albus –a –um,white,albus,Adjective,2,1.2.5
calculus –i m.,small stone; pebble,calculus,Noun,9,1.2.5
adicio adicere adieci adiectus,to throw to,adicio,Verb,34,1.2.5
plane,clearly,plane,Adverb,18,1.2.6
aliquis aliquid and aliqui aliqua aliquod,"someone, something; some, any",aliquis,Pronoun,146,1.2.6
edo edere edidi editus,"to emit, bring forth",edo,Verb,17,1.2.6
atque or ac,"and, also",atque,Conjunction,142,1.2.6
utinam,introduces an Optative subjunctive,utinam,Adverb,8,1.2.6
potissimum,especially,potissimum,Adverb,22,1.2.6
paro parare paravi paratus,to prepare,paro,Verb,36,1.2.6
audio audire audivi auditus,to hear,audio,Verb,142,1.2.6
votum voti n.,vow,votum,Noun,26,1.2.6
autem,however; moreover,autem,Conjunction,84,1.2.6
multus –a –um,"much, many",multus,Adjective,251,1.2.6
causa causae f.,"cause, reason, lawsuit",causa,Noun,172,1.2.6
libellus libelli m.,"little book, document",libellus,Noun,45,1.2.6
emitto emittere emisi emissus,to send out,emitto,Verb,10,1.2.6
quamvis,"even though, although",quamvis,Adverb,39,1.2.6
iam,now; already,iam,Adverb,146,1.2.6
gratia gratiae f.,"favor, influence, gratitude",gratia,Noun,68,1.2.6
novitas –atis f.,newness,novitas,Noun,9,1.2.6
exuo exuere exui exutus,"to take off, strip",exuo,Verb,1,1.2.6
