PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
qui quae quod,"who, which",qui,Pronoun,255,0.1
modo,"only, just now",modo,Adverb,21,0.1
Naso –onis m.,Naso,Naso,Noun,4,0.1
sum esse fui futurus,to be,sum,Verb,547,0.1
quinque; quintus –a –um,5; 5th,quinque,Number,3,0.1
libellus libelli m.,"little book, document",libellus,Noun,5,0.1
tres tria,3,tres,Number,2,0.2
hic haec hoc,"this, these",hic,Pronoun,107,0.2
ille illa illud,that,ille,Pronoun,166,0.2
praefero praeferre praetuli praelatus,to prefer,praefero,Verb,2,0.2
auctor auctoris m.,founder,auctor,Noun,4,0.2
opus operis n.,work; need,opus,Noun,23,0.2
ut or uti,"so that; as, when; that; how? In what manner?",ut,Conjunction,65,0.3
iam,now; already,iam,Adverb,29,0.3
nullus –a –um,"not any, no",nullus,Adjective,37,0.3
tu tui tibi te te,you,tu,Pronoun,243,0.3
nos nostrum/nostri,we; us,nos,Pronoun,32,0.3
lego legere legi lectus,"to choose, collect; read",lego,Verb,18,0.3
voluptas voluptatis f.,pleasure,voluptas,Noun,5,0.3
at or ast,but,at,Conjunction,50,0.4
levis –e,"light, trivial",levis,Adjective,14,0.4
demo demere dempsi demptus,to remove,demo,Verb,5,0.4
poena poenae f.,punishment,poena,Noun,9,0.4
duo duae duo,2,duo,Number,12,0.4
arma armorum n.,"arms, weapons",arma,Noun,31,1.1.1
gravis grave,heavy,gravis,Adjective,11,1.1.1
numerus numeri m.,"number, amount",numerus,Noun,11,1.1.1
violentus –a –um,"violent, savage",violentus,Adjective,4,1.1.1
–que,and,que,Conjunction,332,1.1.1
bellum (duellum) belli n.,war,bellum,Noun,17,1.1.1
paro parare paravi paratus,to prepare,paro,Verb,8,1.1.1
edo edere edidi editus,"to emit, bring forth",edo,Verb,2,1.1.2
materia materiae f.,material,materia,Noun,5,1.1.2
convenio convenire conveni conventus,to assemble; agree,convenio,Verb,7,1.1.2
modus modi m.,measure; manner,modus,Noun,10,1.1.2
pa¯r paris,"equal, like (+dat.)",pa¯r,Adjective,2,1.1.3
inferus –a –um,"low, vile; subst. inhabitant of the underworld",inferus,Adjective,3,1.1.3
versus versus m.,line (of poetry),versus,Noun,6,1.1.3
rideo ridere risi risus,to laugh,rideo,Verb,6,1.1.3
Cupido –inis m.,Cupid (name),Cupido,Noun,12,1.1.3
dico dicere dixi dictus,"to say, speak",dico,Verb,56,1.1.4
atque or ac,"and, also",atque,Conjunction,19,1.1.4
unus –a –um,1,unus,Number,20,1.1.4
surripio surripere surripui surreptum,to steal,surripio,Verb,1,1.1.4
pes pedis m.,foot,pes,Noun,27,1.1.4
quis quid,"who, what",quis,Pronoun,140,1.1.5
saevus –a –um,savage,saevus,Adjective,12,1.1.5
puer pueri m.,"boy, slave",puer,Noun,20,1.1.5
do dare dedi datus,to give,do,Verb,97,1.1.5
in,"in, on",in,Preposition,236,1.1.5
carmen carminis n.,"song, poem",carmen,Noun,37,1.1.5
ius iuris n.,"right, justice, law",ius,Noun,11,1.1.5
Pieris –idos f.,a Muse; daughter of Pierus,Pieris,Noun,1,1.1.6
vates vatis m.,poet,vates,Noun,18,1.1.6
non,not,non,Adverb,170,1.1.6
tuus –a –um,your,tuus,Adjective,125,1.1.6
turba turbae f.,"crowd, uproar",turba,Noun,6,1.1.6
si,if,si,Conjunction,118,1.1.7
praeripio praeripere praeripui praereptum,"to snatch, carry off",praeripio,Verb,1,1.1.7
