PRINCIPAL_PARTS,SHORT_DEFINITION,SIMPLE_LEMMA,PART_OF_SPEECH,Count_in_Selection,Location
ille illa illud,that,ille,Pronoun,379,0.1
ego mei mihi me me,"I, me",ego,Pronoun,389,0.1
qui quae quod,"who, which",qui,Pronoun,766,0.1
quondam,"formerly, at times, sometimes",quondam,Adverb,41,0.1
gracilis gracile,thin,gracilis,Adjective,1,0.1
modulor –ari –atus sum,to measure; regulate,modulor,Verb,1,0.1
avena –ae f.,a straw,avena,Noun,1,0.1
carmen carminis n.,"song, poem",carmen,Noun,14,0.2
et,and,et,Conjunction,2083,0.2
egredior egredi egressus sum,to depart,egredior,Verb,7,0.2
silva silvae f.,forest,silva,Noun,68,0.2
vicinus –a –um,neighboring,vicinus,Adjective,6,0.2
cogo cogere coegi coactus,to drive together; compel,cogo,Verb,25,0.2
ut or uti,"so that; as, when; that; how? In what manner?",ut,Conjunction,160,0.3
quamvis,"even though, although",quamvis,Adverb,5,0.3
avidus –a –um,"greedy, keen",avidus,Adjective,8,0.3
pareo parere parui paritus,"to obey, appear, be present",pareo,Verb,17,0.3
arvum arvi n.,field,arvum,Noun,53,0.3
colonus coloni m.,"farmer, colonist",colonus,Noun,6,0.3
gratus –a –um,pleasant; grateful,gratus,Adjective,14,0.4
opus operis n.,work; need,opus,Noun,28,0.4
agricola agricolae m.,farmer,agricola,Noun,5,0.4
at or ast,but,at,Conjunction,146,0.4
nunc,now,nunc,Adverb,216,0.4
horrens –entis,bristling,horrens,Adjective,9,0.4
Mars Martis m.,Mars,Mars,Noun,43,0.4
arma armorum n.,"arms, weapons",arma,Noun,279,1.1
vir viri m.,man,vir,Noun,170,1.1
–que,and,que,Conjunction,3212,1.1
cano canere cecini cantus,to sing,cano,Verb,43,1.1
Troia Troiae f.,Troy,Troia,Noun,87,1.1
primus –a –um,first,primus,Number,200,1.1
a ab abs,"from, by",a,Preposition,197,1.1
ora –ae f.,"shore, coast",ora,Noun,50,1.1
Italia Italiae f.,Italy,Italia,Noun,44,1.2
fatum –i n. or fatus –i m.,"destiny, fate",fatum,Noun,125,1.2
profugus –a –um,"fugitive, exiled",profugus,Adjective,5,1.2
Lavinius (Lavinus) –a –um,Lavinius,Lavinius,Adjective,2,1.2
venio venire veni ventum,to come,venio,Verb,122,1.2
litus litoris n.,sea–shore,litus,Noun,127,1.3
multum,"much, a lot",multum,Adverb,7,1.3
terra terrae f.,land,terra,Noun,166,1.3
iacto iactare iactavi iactatus,to throw,iacto,Verb,31,1.3
altum alti n.,deep sea; height,altum,Noun,28,1.3
vis vis f.,force,vis,Noun,110,1.4
superi –orum m.,"those above, i.e. the gods",superi,Noun,17,1.4
saevus –a –um,savage,saevus,Adjective,59,1.4
memor memoris,remembering,memor,Adjective,19,1.4
Iuno Iunonis f.,Juno,Iuno,Noun,56,1.4
ob,on account of,ob,Preposition,16,1.4
ira irae f.,anger,ira,Noun,65,1.4
multus –a –um,"much, many",multus,Adjective,161,1.5
quoque,also,quoque,Adverb,25,1.5
bellum (duellum) belli n.,war,bellum,Noun,179,1.5
patior pati passus sum,"to permit, endure",patior,Verb,32,1.5
dum,"while, until, provided that",dum,Conjunction,81,1.5
condo condere condidi conditus,"to build, store up, place",condo,Verb,45,1.5
urbs urbis f.,city,urbs,Noun,196,1.5
infero inferre intuli inlatus,to bring upon/against,infero,Verb,24,1.6
deus dei m.,god,deus,Noun,181,1.6
Latium –ii n.,Latium,Latium,Noun,31,1.6
genus generis n.,origin,genus,Noun,70,1.6
unde,"from where, whence",unde,Adverb,26,1.6
Latinus (Latius) –a –um,of Latium; Latin,Latinus,Adjective,63,1.6
Albanus –a –um,pertaining to Alba Longa (city in Latium; birthplace of Romulus and Remus),Albanus,Adjective,8,1.7
pater patris m.,father; (in pl.) Patricians; Senators,pater,Noun,172,1.7
atque or ac,"and, also",atque,Conjunction,293,1.7
altus –a –um,"tall, high; deep",altus,Adjective,175,1.7
moenia moenium n. pl.,walls,moenia,Noun,92,1.7
Roma Romae f.,Rome,Roma,Noun,7,1.7
Musa –ae f.,a Muse,Musa,Noun,5,1.8
causa causae f.,"cause, reason, lawsuit",causa,Noun,33,1.8
memoro memorare memoravi memoratus,to remember,memoro,Verb,27,1.8
quis quid,"who, what",quis,Pronoun,350,1.8
numen numinis n.,divine will,numen,Noun,62,1.8
laedo laedere laesi laesus,"to injure by striking, hurt",laedo,Verb,5,1.8
ve,or (postpositive enclitic),ve,Conjunction,79,1.9
